Experiment Name	Sample Name	Run Date	PROM ID	Flow Cell Position	Flow Cell ID	Flow Cell Product Code	Data output (Gb)	Read Count (M)	N50 (kb)	MinKNOW Version	Sample Rate (Hz)	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Pore Count	Start Run ISO Timestamp	Start Run Timestamp
PPMI_3271	PPMI_3271	2024-03-25	PC48B080	6C	PAW28552	FLO-PRO114M	99.948	4.932	33.2	23.11.7	5000	NA	NA	7112	6604	2024-03-25T16:33:25.075850866Z	1711384405
PPMI_3462	PPMI_3462	2023-08-07	PC48B080	2B	PAO12997	FLO-PRO114M	72.068	3.171	51.38	22.10.7	4000	NA	NA	8550	7770	2023-08-07T15:10:58.670877603Z	1691421059
PPMI_4054	PPMI_4054_topup	2024-03-15	PC48B098	6C	PAS45828	FLO-PRO114M	18.653	1.381	29.92	23.11.7	5000	NA	NA	2640	2637	2024-03-15T19:22:32.448730142Z	1710530552
PPMI_3585	PPMI_3585	2024-03-25	PC48B080	4H	PAW17248	FLO-PRO114M	80.198	9.238	26.87	23.11.7	5000	NA	NA	6920	6269	2024-03-25T15:59:53.671065037Z	1711382394
PPMI_3631	PPMI_3631	2024-03-21	PC48B080	1C	PAW05746	FLO-PRO114M	24.709	1.843	27.0	23.11.7	5000	NA	NA	4517	3950	2024-03-21T17:45:47.372374476Z	1711043147
PPMI_3201	PPMI_3201	2024-03-05	PC48B098	4B	PAU54613	FLO-PRO114M	86.96	4.682	29.42	23.11.7	5000	NA	NA	6909	6233	2024-03-05T20:27:19.185163949Z	1709670439
PPMI_3807	PPMI_3807_topup	2024-02-29	PC48B080	2F	PAU70344	FLO-PRO114M	26.084	1.571	31.68	23.11.7	5000	NA	NA	4908	4194	2024-02-29T19:59:30.421347591Z	1709236770
PPMI_52932	PPMI_52932	2023-04-25	PC48B080	5C	PAK70026	FLO-PRO114M	70.04	3.479	36.36	22.10.7	4000	NA	NA	7226	6404	2023-04-25T15:00:06.704189032Z	1682434807
PPMI_3636	PPMI_3636	2023-04-20	PC48B098	3B	PAK81747	FLO-PRO114M	64.888	2.883	34.75	22.10.7	4000	NA	NA	7559	6924	2023-04-20T14:58:01.194520921Z	1682002681
PPMI_3512	PPMI_3512	2024-03-25	PC48B098	3G	PAU38820	FLO-PRO114M	95.88	5.204	31.55	23.11.7	5000	NA	NA	6895	6160	2024-03-25T17:18:42.189270418Z	1711387122
PPMI_4036	PPMI_4036	2023-07-10	PC48B098	2H	PAO13048	FLO-PRO114M	40.146	1.997	36.18	22.10.7	4000	NA	NA	6963	6373	2023-07-10T17:47:15.137334026Z	1689011235
PPMI_4064	PPMI_4064	2023-06-13	PC48B080	5F	PAO91787	FLO-PRO114M	25.545	1.422	34.09	22.10.7	4000	NA	NA	7037	5356	2023-06-13T18:47:57.208323085Z	1686682077
PPMI_3281_topup	PPMI_3281_topup	2024-03-11	PC48B098	4C	PAS45697	FLO-PRO114M	20.304	1.514	32.47	23.11.7	5000	NA	NA	3764	3442	2024-03-11T18:50:37.895756942Z	1710183038
PPMI_4136	PPMI_4136	2023-06-26	PC24B302	3F	PAO96952	FLO-PRO114M	48.245	2.202	37.58	22.10.7	4000	NA	NA	7648	6721	2023-06-26T17:20:14.189719346Z	1687800014
PPMI_3559	PPMI_3559	2023-07-11	PC48B098	6C	PAO98839	FLO-PRO114M	64.84	2.959	35.7	22.10.7	4000	NA	NA	7358	6844	2023-07-11T15:06:50.552492636Z	1689088011
PPMI_3665	PPMI_3665	2024-03-05	PC24B302	3C	PAU32242	FLO-PRO114M	79.541	4.305	31.13	23.11.7	5000	NA	NA	7532	6735	2024-03-05T18:11:32.879996921Z	1709662293
PPMI_3803	PPMI_3803	2024-02-28	PC48B080	1A	PAU54572	FLO-PRO114M	42.787	2.432	27.89	23.11.7	5000	NA	NA	7078	6382	2024-02-28T17:30:18.692482286Z	1709141419
PPMI_3166-1814	PPMI_3166-1814	2023-08-15	PC48B098	6E	PAQ82297	FLO-PRO114M	82.567	4.438	31.82	22.10.7	4000	NA	NA	6928	6455	2023-08-15T18:07:10.999875436Z	1692122831
PPMI_4038	PPMI_4038	2023-07-11	PC48B098	3A	PAQ08471	FLO-PRO114M	70.066	3.604	32.56	22.10.7	4000	NA	NA	7875	7099	2023-07-11T14:03:59.621639950Z	1689084240
PPMI_51844	PPMI_51844_topup	2024-03-15	PC48B098	1G	PAS64255	FLO-PRO114M	36.085	1.836	31.47	23.11.7	5000	NA	NA	5904	5288	2024-03-15T18:04:52.301269341Z	1710525892
PPMI_54991	PPMI_54991	2023-04-25	PC48B080	6E	PAM03900	FLO-PRO114M	81.72	4.493	32.69	22.10.7	4000	NA	NA	8087	7441	2023-04-25T15:00:46.317157206Z	1682434846
PPMI_3270	PPMI_3270_topup	2024-03-22	PC48B098	3E	PAS46764	FLO-PRO114M	31.548	1.998	27.35	23.11.7	5000	NA	NA	4386	4067	2024-03-22T17:20:40.335289612Z	1711128040
PPMI_50379	PPMI_50379	2023-09-20	PC48B098	2F	PAS31662	FLO-PRO114M	69.385	3.554	33.47	22.10.7	4000	NA	NA	7289	6706	2023-09-20T17:43:42.488268302Z	1695231822
PPMI_4033	PPMI_4033	2023-04-20	PC48B098	3E	PAO39054	FLO-PRO114M	66.803	3.922	29.28	22.10.7	4000	NA	NA	7492	6690	2023-04-20T14:58:56.161494187Z	1682002736
PPMI_3320	PPMI_3320	2023-04-25	PC48B080	5H	PAM03576	FLO-PRO114M	62.739	3.282	33.71	22.10.7	4000	NA	NA	8667	8045	2023-04-25T15:01:59.661816123Z	1682434920
PPMI_3368	PPMI_3368	2024-03-20	PC48B080	5C	PAW19784	FLO-PRO114M	72.258	3.746	30.32	23.11.7	5000	NA	NA	6685	5900	2024-03-20T18:46:07.505267497Z	1710960368
PPMI_3804	PPMI_3804_topup	2024-02-29	PC48B080	2D	PAS62242	FLO-PRO114M	34.276	1.843	32.51	23.11.7	5000	NA	NA	5337	4844	2024-02-29T20:02:50.278731977Z	1709236970
PPMI_3469	PPMI_3469	2023-06-05	PC48B098	2C	PAQ02677	FLO-PRO114M	97.884	4.616	34.66	22.10.7	4000	NA	NA	7609	7078	2023-06-05T13:54:01.559839129Z	1685973242
PPMI_58182	PPMI_58182	2023-04-19	PC48B098	1F	PAO55546	FLO-PRO114M	59.537	2.997	32.75	22.10.7	4000	NA	NA	8569	7770	2023-04-19T19:04:32.031757592Z	1681931072
PPMI_3953	PPMI_3953	2023-07-11	PC48B080	1F	PAQ08189	FLO-PRO114M	52.964	2.798	34.99	22.10.7	4000	NA	NA	8028	6969	2023-07-11T19:14:51.972179847Z	1689102892
PPMI_3819	PPMI_3819	2024-02-27	PC24B302	3C	PAU56778	FLO-PRO114M	64.33	3.63	31.67	23.11.7	5000	NA	NA	7178	6162	2024-02-27T19:42:35.691295705Z	1709062956
PPMI_12593	PPMI_12593	2023-09-20	PC48B098	2C	PAS32187	FLO-PRO114M	51.4	2.929	32.08	22.10.7	4000	NA	NA	7012	6129	2023-09-20T17:42:41.326487946Z	1695231761
PPMI_3592	PPMI_3592	2023-06-06	PC48B080	4F	PAO97025	FLO-PRO114M	0.048	0.009	10.22	22.10.7	4000	NA	NA	8143	NA	2023-06-06T18:45:14.563459122Z	1686077115
PPMI_3428	PPMI_3428_topup	2024-04-08	PC48B080	3B	PAQ74172	FLO-PRO114M	60.801	3.042	33.06	23.11.7	5000	NA	NA	5832	5494	2024-04-08T16:17:39.480412224Z	1712593059
PPMI_41430	PPMI_41430	2024-03-12	PC48B080	2E	PAW25364	FLO-PRO114M	76.652	4.923	28.27	23.11.7	5000	NA	NA	7285	6261	2024-03-12T15:38:04.557960886Z	1710257885
PPMI_3237-4823	PPMI_3237-4823	2023-06-12	PC24B302	3A	PAO96644	FLO-PRO114M	67.647	3.511	30.34	22.10.7	4000	NA	NA	7963	7527	2023-06-12T22:28:17.589158617Z	1686608898
PPMI_4094	PPMI_4094	2023-04-26	PC48B098	4A	PAO20010	FLO-PRO114M	67.571	3.855	31.6	22.10.7	4000	NA	NA	7115	6533	2023-04-26T18:30:56.632516666Z	1682533857
PPMI_3354	PPMI_3354	2023-05-04	PC48B098	6E	PAO94913	FLO-PRO114M	43.133	2.091	37.07	22.10.7	4000	NA	NA	7805	7558	2023-05-04T22:28:10.566625160Z	1683239291
PPMI_3629	PPMI_3629	2023-06-12	PC24B302	1D	PAO99671	FLO-PRO114M	94.875	4.973	35.5	22.10.7	4000	NA	NA	8027	7677	2023-06-12T22:23:03.466841281Z	1686608583
PPMI_51518	PPMI_51518	2023-04-19	PC48B098	1H	PAO48090	FLO-PRO114M	72.812	3.933	32.25	22.10.7	4000	NA	NA	7909	7118	2023-04-19T19:05:09.590255604Z	1681931110
