position,flow_cell_id,product_code,passed,total_pore_count,timestamp
1A,PAW64396,FLO-PRO114M,True,7918,1715692853
1A,PAY03975,FLO-PRO114M,False,4639,1719841913
1A,PAS46279,FLO-PRO114M,True,7254,1698170521
1A,PAW73240,FLO-PRO114M,True,8692,1716920359
1A,PAS46462,FLO-PRO114M,True,5393,1712240576
1A,PAU50576,FLO-PRO114M,True,5702,1709649386
1A,PAW22538,FLO-PRO114M,False,2865,1720724103
1A,PAW40284,FLO-PRO114M,True,7493,1716310158
1A,PAU57082,FLO-PRO114M,True,6941,1710172035
1A,PAW60658,FLO-PRO114M,True,6837,1715696185
1A,PAU30477,FLO-PRO114M,True,6724,1704822302
1A,PAW69882,FLO-PRO114M,True,6316,1720789987
1A,CTC42338,FLO-PRO002,False,0,1724772707
1A,PAW64817,FLO-PRO114M,True,5298,1720722362
1A,PAU29679,FLO-PRO114M,True,8349,1702907169
1B,PAW40036,FLO-PRO114M,True,6901,1716310152
1B,PAQ86087,FLO-PRO114M,True,5512,1719580251
1B,CTC42336,FLO-PRO002,False,0,1724772707
1B,PAW86371,FLO-PRO114M,True,6650,1720789987
1B,PAU30348,FLO-PRO114M,True,7325,1704822301
1B,PAW64747,FLO-PRO114M,False,266,1720722362
1B,PAU55482,FLO-PRO114M,True,6956,1710172040
1B,PAW64356,FLO-PRO114M,True,7910,1715692849
1B,PAS46534,FLO-PRO114M,True,7029,1698170514
1B,PAW95859,FLO-PRO114M,False,1939,1719841915
1B,PAW95572,FLO-PRO114M,True,5058,1720724109
1B,PAU57631,FLO-PRO114M,True,5079,1709649387
1B,PAW60978,FLO-PRO114M,True,5777,1715696197
1B,PAS46278,FLO-PRO114M,False,3417,1712240573
1B,PAU27953,FLO-PRO114M,True,8030,1702907166
1B,PAW72976,FLO-PRO114M,True,5905,1716920359
1C,PAU30605,FLO-PRO114M,True,6546,1719580192
1C,CTC42341,FLO-PRO002,False,0,1724772700
1C,PAU30413,FLO-PRO114M,True,7296,1702907163
1C,PAW95999,FLO-PRO114M,True,7334,1719841912
1C,PAU57114,FLO-PRO114M,True,7406,1710172037
1C,PAU50718,FLO-PRO114M,False,4761,1709649391
1C,PAU29821,FLO-PRO114M,True,7890,1704822304
1C,PAW64327,FLO-PRO114M,True,7875,1715692856
1C,PAS46614,FLO-PRO114M,True,5476,1698170514
1C,PAS46219,FLO-PRO114M,False,4921,1712240571
1C,PAW55832,FLO-PRO114M,True,7466,1720722367
1C,PAW62625,FLO-PRO114M,True,7169,1715696183
1C,PAW30609,FLO-PRO114M,True,7134,1716310173
1C,PAW80505,FLO-PRO114M,True,6250,1720789982
1C,PAW73084,FLO-PRO114M,True,8017,1716920363
1C,PAW70548,FLO-PRO114M,True,6979,1720724103
1D,PAU27959,FLO-PRO114M,True,6644,1702907160
1D,PAU29637,FLO-PRO114M,True,7266,1704822304
1D,CTC43562,FLO-PRO002,False,0,1724772702
1D,PAW64369,FLO-PRO114M,True,7236,1715692848
1D,PAS33266,FLO-PRO114M,True,7504,1698170514
1D,PAS46787,FLO-PRO114M,True,5890,1712240572
1D,PAW64834,FLO-PRO114M,True,7330,1720722364
1D,PAW71545,FLO-PRO114M,True,7314,1716920362
1D,PAW22756,FLO-PRO114M,True,6099,1720789990
1D,PAW71252,FLO-PRO114M,True,7762,1720724111
1D,PAW64619,FLO-PRO114M,True,7859,1715696187
1D,PAU50930,FLO-PRO114M,True,6915,1709649391
1D,PAW95961,FLO-PRO114M,True,6300,1719841909
1D,PAU57090,FLO-PRO114M,True,7739,1710172036
