Experiment Name	Sample Name	Run Date	PROM ID	Flow Cell Position	Flow Cell ID	Flow Cell Product Code	Data output (Gb)	Read Count (M)	N50 (kb)	MinKNOW Version	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Pore Count	Start Run ISO Timestamp	Start Run Timestamp
PPMI_3665	PPMI_3665	2023-07-10	PC48B080	1G	PAO12819	FLO-PRO114M	5.955	0.267	36.97	22.10.7	NA	NA	9018	8245	2023-07-10T15:16:37.348675660Z	1689002197
PPMI_4116	PPMI_4116	2023-07-11	PC48B098	5F	PAQ49669	FLO-PRO114M	72.407	4.175	28.97	22.10.7	NA	NA	8315	7536	2023-07-11T15:07:28.907309697Z	1689088049
PPMI3172A	PPMI3172A_100NG_MANUAL	2023-01-24	PC48B080	1D	PAK57782	FLO-PRO114M	78.488	3.964	32.16	22.10.7	NA	NA	7431	6643	2023-01-24T19:25:39.357032044Z	1674588339
PPMI_3966	PPMI_3966	2023-03-27	PC48B098	2B	PAM05030	FLO-PRO114M	58.354	2.718	32.89	22.10.7	NA	NA	6881	6483	2023-03-27T14:49:05.933322886Z	1679928546
PPMI_3185	PPMI_3185	2023-04-13	PC48B098	3D	PAK69893	FLO-PRO114M	68.773	3.813	29.17	22.10.7	NA	NA	6749	6352	2023-04-13T18:12:11.111024532Z	1681409531
PPMI_4024	PPMI_4024	2023-07-05	PC48B098	5C	PAQ49447	FLO-PRO114M	45.823	3.571	17.55	22.10.7	NA	NA	6331	5808	2023-07-05T17:54:59.383891787Z	1688579699
PPMI_3308	PPMI_3308	2023-04-13	PC48B098	4F	PAK72962	FLO-PRO114M	80.01	4.505	27.71	22.10.7	NA	NA	8517	8074	2023-04-13T18:08:15.441518272Z	1681409295
PPMI_3023-7930	PPMI_3023-7930	2023-08-15	PC48B098	6B	PAQ82526	FLO-PRO114M	27.31	1.538	31.32	22.10.7	NA	NA	6036	5561	2023-08-15T18:05:54.390450636Z	1692122754
PPMI_3829	PPMI_3829_topup	2024-04-08	PC48B080	4H	PAS44802	FLO-PRO114M	0.005	0.0	72.73	23.11.7	NA	NA	57	NA	2024-04-08T16:27:52.885505735Z	1712593673
PPMI_51440	PPMI_51440	2023-04-18	PC48B080	4D	PAO50680	FLO-PRO114M	65.161	3.413	31.85	22.10.7	NA	NA	8452	7824	2023-04-18T18:55:15.285746914Z	1681844115
PPMI_40760	PPMI_40760	2023-06-05	PC48B098	3D	PAO84660	FLO-PRO114M	118.875	5.284	36.57	22.10.7	NA	NA	8529	7847	2023-06-05T14:37:46.361119334Z	1685975866
PPMI_BLOOD_SSTEST	PPMI3175A-1_OLD	2023-03-01	PC48B098	1E	PAK72898	FLO-PRO114M	110.696	7.063	26.62	22.10.7	NA	NA	7775	7182	2023-03-01T02:08:27.879544675Z	1677636508
PPMI_3051A	PPMI_3051A	2023-03-14	PC48B098	2A	PAK73811	FLO-PRO114M	52.849	2.839	27.89	22.10.7	NA	NA	7870	7178	2023-03-14T15:15:02.831444292Z	1678806903
PPMI_3818	PPMI_3818	2024-02-06	PC48B098	1F	PAU50907	FLO-PRO114M	104.718	5.691	29.34	23.11.7	NA	NA	7144	6541	2024-02-06T17:25:18.594517867Z	1707240319
PPMI_4103	PPMI_4103	2024-03-05	PC48B080	4A	PAU31698	FLO-PRO114M	74.521	3.83	34.1	23.11.7	NA	NA	6999	6241	2024-03-05T18:08:01.140631757Z	1709662081
PPMI_3776	PPMI_3776_topup	2024-02-29	PC48B080	6C	PAS67940	FLO-PRO114M	35.827	1.966	30.92	23.11.7	NA	NA	5506	4824	2024-02-29T20:05:55.470978759Z	1709237155
PPMI_3565	PPMI_3565	2024-02-27	PC48B098	1D	PAU52198	FLO-PRO114M	81.487	4.254	30.17	23.11.7	NA	NA	6736	5988	2024-02-27T18:27:26.658156725Z	1709058447
PPMI_3537	PPMI_3537	2024-04-04	PC48B080	3B	PAW05798	FLO-PRO114M	20.323	1.153	31.11	23.11.7	NA	NA	4239	3554	2024-04-04T16:02:59.431464781Z	1712246579
PPMI_3354	PPMI_3354	2023-05-04	PC48B098	6E	PAO94913	FLO-PRO114M	43.133	2.091	37.07	22.10.7	NA	NA	7805	7558	2023-05-04T22:28:10.566625160Z	1683239291
PPMI_3314_topup	PPMI_3314_topup	2024-03-11	PC48B098	1F	PAS65438	FLO-PRO114M	37.836	2.286	31.97	23.11.7	NA	NA	5477	4995	2024-03-11T17:31:06.218033430Z	1710178266
