Experiment Name	Sample Name	Run Date	PROM ID	Flow Cell Position	Flow Cell ID	Flow Cell Product Code	Data output (Gb)	Read Count (M)	N50 (kb)	MinKNOW Version	Sample Rate (Hz)	Passed Modal Q Score	Failed Modal Q Score	Starting Active Pores	Second Pore Count	Start Run ISO Timestamp	Start Run Timestamp
RUSH_300_FTX	RUSH_300_FTX	2024-08-14	PC48B080	5H	PAY57593	FLO-PRO114M	109.059	5.859	24.36	24.02.19	5000	14.35	6.05	5979	5884	2024-08-14T17:42:20.905654881Z	1723657341
RUSH_286_FTX	RUSH_286_FTX	2024-08-14	PC48B080	5F	PBA01349	FLO-PRO114M	82.109	4.759	24.4	24.02.19	5000	13.85	5.85	5880	5480	2024-08-14T17:41:30.463895388Z	1723657290
RUSH_158_FTX	RUSH_158_FTX	2024-08-14	PC48B080	3B	PAW96097	FLO-PRO114M	85.447	4.313	27.45	24.02.19	5000	14.05	5.85	5387	5820	2024-08-14T16:03:31.489915757Z	1723651411
RUSH_096_FTX	RUSH_096_FTX_topup	2024-05-29	PC48B080	3E	PAO18170	FLO-PRO114M	72.666	4.589	19.71	24.02.19	5000	12.65	5.85	6125	5893	2024-05-29T18:02:28.732171604Z	1717005749
RUSH_093_FTX	RUSH_093_FTX	2024-05-22	PC48B080	6B	PAW63414	FLO-PRO114M	87.755	4.209	26.82	24.02.19	5000	13.05	7.35	6981	6475	2024-05-22T18:51:18.347884505Z	1716403878
RUSH_210_FTX	RUSH_210_FTX	2024-06-11	PC48B080	3G	PAW73132	FLO-PRO114M	94.143	7.896	19.77	24.02.19	5000	13.05	5.65	6620	6529	2024-06-11T17:43:18.594997344Z	1718127799
RUSH_317_FTX	RUSH_317_FTX	2024-07-10	PC48B080	3E	PAY02163	FLO-PRO114M	68.237	3.987	25.54	24.02.19	5000	13.45	7.35	5301	4970	2024-07-10T19:20:10.452546858Z	1720639210
RUSH_260_FTX	RUSH_260_FTX	2024-06-26	PC48B080	3F	PAW77016	FLO-PRO114M	125.498	6.68	24.15	24.02.19	5000	13.15	7.25	7740	7305	2024-06-26T14:19:16.664523301Z	1719411557
RUSH_298_FTX	RUSH_298_FTX	2024-07-08	PC48B080	1C	PAW56374	FLO-PRO114M	117.58	6.248	24.78	24.02.19	5000	13.75	5.75	7117	6869	2024-07-08T16:40:31.866714647Z	1720456832
RUSH_049_FTX	RUSH_049_FTX	2024-05-21	PC48B080	1E	PAW64311	FLO-PRO114M	78.675	4.484	24.65	24.02.19	5000	12.85	5.55	7324	6971	2024-05-21T18:58:02.645532990Z	1716317883
RUSH_087_FTX	RUSH_087_FTX_topup	2024-07-25	PC48B080	1B	PAO97390	FLO-PRO114M	35.969	3.088	23.11	24.02.19	5000	9.75	4.85	5056	4781	2024-07-25T19:00:40.061920506Z	1721934040
RUSH_080_FTX	RUSH_080_FTX	2024-05-28	PC48B080	1B	PAW71972	FLO-PRO114M	86.564	4.148	27.24	24.02.19	5000	13.25	5.55	5509	6784	2024-05-28T19:29:05.008938325Z	1716924545
RUSH_183_FTX	RUSH_183_FTX	2024-06-11	PC48B098	1D	PAW67950	FLO-PRO114M	101.76	4.527	28.15	24.02.19	5000	13.25	5.75	7239	6762	2024-06-11T14:26:35.834964708Z	1718115996
RUSH_163_FTX	RUSH_163_FTX_topup	2024-09-06	PC48B080	3C	PAQ83283	FLO-PRO114M	26.594	1.813	24.97	24.02.19	5000	11.25	5.65	5298	4946	2024-09-06T14:03:01.469427581Z	1725631381
RUSH_166_FTX	RUSH_166_FTX	2024-06-11	PC48B080	2C	PAW73188	FLO-PRO114M	50.753	3.642	25.05	24.02.19	5000	13.05	7.95	6465	6197	2024-06-11T17:38:59.376086880Z	1718127539
RUSH_358_FTX	RUSH_358_FTX	2024-07-24	PC48B098	6D	PAY89773	FLO-PRO114M	0.001	0.0	8.44	24.02.19	5000	24.35	3.25	5661	NA	2024-07-24T18:37:36.968256306Z	1721846257
RUSH_345_FTX	RUSH_345_FTX	2024-07-23	PC48B098	3H	PAY60829	FLO-PRO114M	122.701	7.062	22.68	24.02.19	5000	13.75	7.35	6800	6572	2024-07-23T15:47:50.752944997Z	1721749671
RUSH_019_FTX	RUSH_019_FTX	2024-05-14	PC48B080	5G	PAW64328	FLO-PRO114M	88.359	4.452	27.57	24.02.19	5000	12.95	7.25	7050	6736	2024-05-14T15:31:24.665029437Z	1715700685
RUSH_098_FTX	RUSH_098_FTX_topup	2024-09-18	PC48B080	3C	PAQ49633	FLO-PRO114M	37.803	2.069	27.52	24.02.19	5000	13.95	5.95	3900	3672	2024-09-18T18:53:25.355290887Z	1726685605
RUSH_036_FTX	RUSH_036_FTX_topup	2024-05-22	PC48B080	3D	PAW40151	FLO-PRO114M	85.284	6.205	19.03	24.02.19	5000	13.05	5.55	6450	6160	2024-05-22T19:00:02.084386480Z	1716404402
